#Opening Force Reduction Factor (X1) x Ballistic Parameter (A)#
#Dados retirados da Figura 5 - 51 no livro do Knacke#
#A      X1#
0.01	0.045
0.02	0.06
0.03	0.08
0.04	0.09
0.05	0.1
0.06	0.11
0.07	0.12
0.08	0.13
0.09	0.14
0.10	0.15
0.2	0.2
0.3	0.25
0.4	0.3
0.5	0.35
0.6	0.38
0.7	0.4
0.8	0.41
0.9	0.45
1	0.5
2	0.61
3	0.72
4	0.8
5	0.81
6	0.85
7	0.9
8	0.91
9	0.93
10	0.95
